filename,width,height,class,xmin,ymin,xmax,ymax
100_Boiled Egg.jpg,128,128,begg,46,25,120,97
100_Bonda.jpg,128,128,bonda,41,48,60,65
100_Bonda.jpg,128,128,bonda,53,72,70,90
100_briyani.jpg,128,128,briyani,40,41,96,97
100_cutlet.jpg,128,128,cutlet,30,58,70,95
100_cutlet.jpg,128,128,cutlet,66,60,102,93
100_cutlet.jpg,128,128,cutlet,30,37,61,63
100_cutlet.jpg,128,128,cutlet,61,38,88,63
100_cutlet.jpg,128,128,cutlet,33,25,59,41
100_cutlet.jpg,128,128,cutlet,34,16,58,29
100_cutlet.jpg,128,128,cutlet,56,25,80,41
100_dosa.jpg,128,128,dosa,1,26,122,54
100_frenchfries.jpg,128,128,frenchfries,1,25,128,103
100_Idly.jpg,128,128,idly,64,76,82,95
100_Idly.jpg,128,128,idly,49,71,69,91
100_Idly.jpg,128,128,idly,80,75,96,94
100_Idly.jpg,128,128,idly,91,71,106,88
100_Idly.jpg,128,128,idly,75,53,93,63
100_Idly.jpg,128,128,idly,98,64,112,79
100_Idly.jpg,128,128,idly,53,60,68,72
100_pepperoni pizza.jpg,128,128,pepperonipizza,33,28,104,100
100_poori.jpg,128,128,poori,11,42,61,74
100_poori.jpg,128,128,poori,73,18,125,57
100_poori.jpg,128,128,poori,2,21,21,65
100_poori.jpg,128,128,poori,30,17,80,40
100_wada.jpg,128,128,vada,14,27,62,71
100_wada.jpg,128,128,vada,52,21,95,59
100_wada.jpg,128,128,vada,94,47,128,88
100_wada.jpg,128,128,vada,41,60,94,105
100_wada.jpg,128,128,vada,8,56,45,97
101_briyani.jpg,128,128,briyani,3,24,109,104
101_cutlet.jpg,128,128,cutlet,8,15,115,105
101_dosa.jpg,128,128,dosa,11,50,79,92
101_Idiyappam.jpg,128,128,idiyappam,7,57,53,81
101_Idiyappam.jpg,128,128,idiyappam,70,41,116,78
101_Idly.jpg,128,128,idly,81,70,107,99
101_Idly.jpg,128,128,idly,83,28,108,50
101_Idly.jpg,128,128,idly,64,59,95,97
101_pepperoni pizza.jpg,128,128,pepperonipizza,8,31,124,99
101_poori.jpg,128,128,poori,82,33,128,75
101_poori.jpg,128,128,poori,42,22,88,63
102_briyani.jpg,128,128,briyani,1,44,89,93
102_cutlet.jpg,128,128,cutlet,19,25,109,112
102_dosa.jpg,128,128,dosa,55,31,114,89
102_Idiyappam.jpg,128,128,idiyappam,47,84,74,113
102_Idiyappam.jpg,128,128,idiyappam,68,62,97,91
102_Idiyappam.jpg,128,128,idiyappam,67,37,94,65
102_Idiyappam.jpg,128,128,idiyappam,33,37,69,65
102_Idiyappam.jpg,128,128,idiyappam,19,64,52,93
102_Idly.jpg,128,128,idly,89,35,108,51
102_Idly.jpg,128,128,idly,70,30,87,49
102_Idly.jpg,128,128,idly,65,22,107,49
102_pepperoni pizza.jpg,128,128,pepperonipizza,10,26,125,94
102_poori.jpg,128,128,poori,8,24,67,80
102_poori.jpg,128,128,poori,64,25,105,68
103_briyani.jpg,128,128,briyani,15,30,128,103
103_cutlet.jpg,128,128,cutlet,7,55,75,92
103_cutlet.jpg,128,128,cutlet,25,30,94,55
103_cutlet.jpg,128,128,cutlet,80,42,128,78
103_dosa.jpg,128,128,dosa,19,25,90,99
103_Idly.jpg,128,128,idly,92,63,124,89
103_Idly.jpg,128,128,idly,62,65,96,91
103_Idly.jpg,128,128,idly,68,26,91,42
103_Idly.jpg,128,128,idly,45,20,64,38
103_Idly.jpg,128,128,idly,95,22,110,37
103_pepperoni pizza.jpg,128,128,pepperonipizza,7,13,120,113
103_poori.jpg,128,128,poori,33,38,107,107
103_poori.jpg,128,128,poori,13,31,68,82
104_briyani.jpg,128,128,briyani,21,29,126,104
104_cutlet.jpg,128,128,cutlet,22,21,103,100
104_cutlet.jpg,128,128,cutlet,98,89,128,115
104_dosa.jpg,128,128,dosa,26,36,87,100
104_Idly.jpg,128,128,idly,60,35,84,56
104_Idly.jpg,128,128,idly,19,81,37,104
104_Idly.jpg,128,128,idly,50,107,74,121
104_Idly.jpg,128,128,idly,69,96,93,107
104_Idly.jpg,128,128,idly,70,107,93,124
104_Idly.jpg,128,128,idly,62,60,87,83
104_Idly.jpg,128,128,idly,35,38,61,62
104_Idly.jpg,128,128,idly,21,49,44,75
104_Idly.jpg,128,128,idly,38,77,62,100
104_pepperoni pizza.jpg,128,128,pepperonipizza,1,64,127,107
104_pepperoni pizza.jpg,128,128,pepperonipizza,47,21,128,72
104_poori.jpg,128,128,poori,24,9,61,43
104_poori.jpg,128,128,poori,44,1,83,31
105_briyani.jpg,128,128,briyani,32,28,126,79
105_cutlet.jpg,128,128,cutlet,48,65,103,125
105_cutlet.jpg,128,128,cutlet,42,2,100,62
105_cutlet.jpg,128,128,cutlet,15,1,52,57
105_dosa.jpg,128,128,dosa,19,50,80,90
105_Idly.jpg,128,128,idly,1,58,26,107
105_Idly.jpg,128,128,idly,21,50,58,90
105_Idly.jpg,128,128,idly,5,40,43,72
105_pepperoni pizza.jpg,128,128,pepperonipizza,6,32,124,97
105_poori.jpg,128,128,poori,19,19,110,92
106_briyani.jpg,128,128,briyani,2,34,128,110
106_cutlet.jpg,128,128,cutlet,3,17,64,103
106_cutlet.jpg,128,128,cutlet,56,17,113,102
106_dosa.jpg,128,128,dosa,21,47,62,100
106_Idly.jpg,128,128,idly,23,56,48,76
106_Idly.jpg,128,128,idly,33,71,58,97
106_Idly.jpg,128,128,idly,8,62,35,87
106_Idly.jpg,128,128,idly,23,37,49,62
106_Idly.jpg,128,128,idly,47,52,70,78
106_pepperoni pizza.jpg,128,128,pepperonipizza,22,25,103,104
